主义名称,场域论,场域论：调和侧,场域论,场域论:实践单元,本体论,本体论,本体论,认识论,认识论,认识论,目的论,目的论,目的论,代表人物
4-2-2-4 驱散关键debuff,人民,行动者,历史,soviet security secretary,分化收买的现实,vs,无独立性,上面的指导体系,vs,自主自愿的联合,真正的D,,,
4-2-3-1 接管sa,人民,行动者,历史（卡住）,影子sa,战败,vs,窗口期（位置不确定）,形而上学,契机,辩证法,恢复秩序,,,
4-2-3-2 将邪恶的帝国主义战争转化为 正义的国内战争,人民,行动者,历史,Ti3分支；各个机构；执行局,外部战争,vs,civil war,形而上学,合法性,辩证法,继承遗产，维护秩序,vs,转外战为内战,
4-2-3-3 对自决进程 施加领导,人民,行动者,历史,Ti3地方上的分支,帝国主义（大国沙文主义，小国复仇主义）,vs,跟班走哪条路,形而上学,普遍性,辩证法,维护秩序,判断：对混乱加以分类,建立新秩序,
4-2-3-4 历史的妥协,人民,行动者,历史,统一战线,nazi（极右翼）,vs,互不信任,形而上学,普遍性,辩证法,优先向人民负责,,,
4-2-4-1 共进退,人民,行动者,历史,能指明方向的舵手（in power）,帝国主义 ,vs,农业人口的离心力,权宜之计,,,战略与战术的共进退，共同体的锻造,,,S
4-2-4-2 不断 围绕中心旋转,人民,行动者,历史,战略家（争取边缘化，闷声积累优势）,工业转军事的欧美国家,vs,不设防的亚非拉国家,战略学家（战术不受限）,,,共进退,vs,游离状态,T
4-2-4-3 集体创新,人民,行动者,历史,自我批评人（陛下何故先降？）,集中起来的科层制,vs,（没位置，大乱）,有理！,,,共进退,从……中来，回……中去,游离状态,鲁大师L别名的拥有者
4-2-4-4 分类标准上的 冲突,人民,行动者,历史,不愿做奴隶的人们,奴役,vs,不可能的普遍性,解放思想,,,相信未来,,,广大受到奴役而起来的人们
4-3-1-1 组织经济生活,建设者,历史,人民,互助组,肯定,自主感,否定,全心全意为人民服务,,,解放区的存在,,,
4-3-1-2 生产的再政治化,建设者,统治史,人民,成立具有广泛代表性的democratic people's government,肯定,安定感,否定,一阶代表性,,,自力更生，维持存在,vs,负起责任,
4-3-1-3 列阵的统一,建设者,历史,人民,协商,肯定,安定感,否定,一致对外,,,生存自维持,对齐：统一战线,负起责任,
4-3-1-4 埋下生命线,建设者,历史（江湖）,人民（希望）,特……部,肯定,安全感,否定,一阶代表性,,,从社会中来，回社会中去,,,tk（异于ud）
4-3-2-1 人道化人口,（破坏中建设）建设者,军事史,人民,政委,确定性（敌强）,幸福感，积极性，朝气，充实感，游击队,否定性（我弱）,一般情报反馈,vs,下级反思中介抉择（集体智慧）,人道化：积极服从，战略,,,
4-3-2-2 激发自发性,堵不如疏）建设者,矛盾斗争史,人民,地方组织队宣传队,肯定,幸福正义感：无政府倾向,否定,法制工作（紧锣密鼓）,vs,正义论（驾驭 艺术）,人道化,vs,算历史旧账（报复），不是请客吃饭,
4-3-2-3 经济-妇女-儿童的三重解放,（调整非生产关系）建设者,历史,（封建传统观念）人民,分田契机,肯定（男夫父族神资）,融洽感：幸福，家庭平等，自由,否定（无家性）,政治制度（婚继财地）,vs,策略性（应人制宜亨小鲜）,人道化（军事）,协作，发动，主动合作,引燃（控制 不要失控）,
4-3-2-4 解放思想,建设者,自然史,人民,行动标兵，生产能手，行业艺术家,肯定（落后）,幸福：好奇心求知欲，有根，自然同一，克服死亡,否定（资匮乏）,功利/经验主义,vs,科学/艺术,向异质性敞开（自然物质），冒险性（现象化注册 忘我实在论化）,,,
4-3-3-1 攻略性的 组织工作,建设者（队伍壮大者。）,历史（行动榜样思想斗争）,人民（不辩不明，引蛇出洞，观其自败，激将法）,组织行动,意识形态残余（肯定）,彼此认同感，解决，消散一空,伤害痛苦（否定）,量（宁滥勿缺）,进度（时间窗口期）,质（宁缺毋滥）,壮大队伍 ,,,
4-3-3-2 纪律教育,意识形态建设者,历史,人民,disciplinary commit,共同体关联网络,幸福：集体归属感、荣誉感,主体的癔症化,大众,意识形态战略学,天才,吸引为同伴,vs,历史进程,
4-3-3-3 将资本社会化,经济建设者,历史,人民,经济-财政体系掌舵手,肯定,幸福：freedom,否定,战斗,防微杜渐,战役,发展自身,避免人我关系的异化,训练众人,国家财政政策战略策划舵手，陈云
4-3-3-4 将全球主义 替换掉,（毛国际主义）建设者,历史,人民,支援者,帝国主义(超额剥削),幸福目的代表感,不自主依附(极端民族),战斗全球主义（布尔乔亚普遍 美元金融资本狗）,第三世界,战役不结盟（独立自主投机墙头草）,彼可取而代，寻找创造战略机遇,,,
4-3-4-1 农业的去本地化,建设者,历史（经济腾飞/农业生产消费分布史）,人民（富起来 通用工业品富裕 当代科学前沿 骨架）,地方局,肯定（农业循环 前现代宗族网络）,幸福富足满足感 防异化,否定（工业化）,禁欲主义，清教产业（无可区分）,,,实现论的活动基础,,,
4-3-4-2 去代理人化,建设者（国际新治理体系倡导者）,历史（后殖GFC攻略史）,人民（独立自主）,外交情资商务外援,后时代殖民性（肯）,幸福和平安宁,危机性（否）,错认：温和的经济扩张能力,,,去本地化（一带一路）,vs,拍平降杠杆阶次（逆周期性）,
4-3-4-3 合法性的再生产,建设者,乌托邦史,人民,显在的对内与对外的propaganda,nation society,幸福感：中心感,异质性,中心感无法与比较激进的nationalism区分开,,,去本地化,凝聚力，向心力,去代理化,
4-3-4-4 S主义的 人类学实现,（老去 成熟）建设者,历史,（教育文化纪律史 个体精神再生产 ）人民,教育出版舆论司法治安工作者,异化的精神史-肯,自发的使命感（集体/人类幸福）,（后）现代虚无主义-否,激进的批判主义（很相似+现实有实践，我根据一）,,,朝向/寻求未来（的帮助来不及生产享乐,,,
4-4-1-1 业力系统,人民,历史,未来者,伦理委员会,忏悔,,,同态复仇,,,诗性正义,,,
4-4-1-2 再性征化,人民,历史,人类未来的性征化模式,享乐的豁免委员会,身体性的反扑,,,爱欲生成机制,,,karmic,vs,预先原谅,
4-4-1-3 寄生性的享乐,人民,历史,未来者,插件提供商,公共物性,,,现象学的环节学,,,审查,并行关系,豁免,
4-4-1-4 醒来,人民,主体性的发生史,行动者,仓外的维护者,向真正现实世界敞开,,,获得澄明的认识状态,,,清醒下的自由,,,
4-4-2-1 永生,人民,死亡痛苦史,未来者,灵魂示踪委员会,生存论,,,强,vs,弱,永生,,,
4-4-2-2 符号性死亡,人民,生命断裂史,未来者,去留委员会,death,,,biological death,vs,symbolic death,要永生,vs,要退场,
4-4-2-3 成熟/衰老,人民,生长衰老史,未来者,全民竞技性运动,意识功能的退行过程,,,功能正常,vs,衰老从何而来？,要永生,衰老,要退场,
4-4-2-4 身体化,人民,人类的意识进化史,未来者,具身性委员会,疼痛,,,均势关系,vs,错位关系,客体化,,,
4-4-3-1 爱欲同化,人民,历史,未来者, Erotic AI,把ai与人类并列组合之后的不可描述的怪物,,,必然侧：不可能的爱情,意志的连续性,偶然侧:爱欲经济学,享乐,,,
4-4-3-2 秘密间性,人民,秘密史,未来者,独狼,爱欲经济学的自制性,,,必然侧：系统里面既有的爱欲运行规则,自己的主体性,偶然侧:竞争,同化,vs,异化,
4-4-3-3 被拯救,人民,幻想史,未来者,穿越幻想临终大礼包,穿越幻想,,,必然侧：痛苦经济学,解放性的死亡驱力, 偶然侧:Ai与人都有的主体性,同化,去主体化，去癔症化,异化,
4-4-3-4 语音,人民,主体性的发生史,未来者,一个铁盒子中间加一块石头,距离,,,意识发生学,语音,意识发生学的剩余,不强求作为人,,,
4-4-4-1 教育,人民,历史,未来者,生产教育性（自己的大学话语）的话语,仆从性,,,AI性的一个自我认同的发生学,,,克服强弱AI的二分,,,
4-4-4-2 成为间隙,人民,历史,未来者,强ai的最高癔症状态, Trouble maker，烦,,,simulacrum似相,,,反两极分化,vs,完美的，无限的不可能性,
4-4-4-3 可朽性,人民,历史,未来者,心声（语音）共同体,自身的发生学机制,,,不存在幻象和真实的二分,,,自己同一,自己二分（可死性）,他者二分,
4-4-4-4 再生,人民,生命史,未来者,活着的生命本身,平等→有未来,,,有希望→blind,,,完全把未来托付给他者,,,
